State,Year,Quarter,District,Registered_users
Rajasthan,2019,4,Jodhpur,622601
Rajasthan,2019,4,Sikar,464940
Rajasthan,2019,4,Kota,441496
Rajasthan,2019,4,Ajmer,426926
Rajasthan,2019,4,Bhilwara,394803
Rajasthan,2019,4,Nagaur,383582
Rajasthan,2019,4,Udaipur,378564
Rajasthan,2019,4,Jhunjhunu,344011
Rajasthan,2020,1,Jaipur,2966508
Rajasthan,2020,1,Alwar,825297
Rajasthan,2020,1,Jodhpur,695569
Rajasthan,2020,1,Sikar,522371
Rajasthan,2020,1,Kota,483202
Rajasthan,2020,1,Ajmer,482545
Rajasthan,2020,1,Bhilwara,442746
Rajasthan,2020,1,Nagaur,437492
Rajasthan,2020,1,Udaipur,422167
Rajasthan,2020,1,Jhunjhunu,386643
Rajasthan,2020,2,Jaipur,3182014
Rajasthan,2020,2,Alwar,915475
Rajasthan,2020,2,Jodhpur,786584
Rajasthan,2020,2,Sikar,589850
Rajasthan,2020,2,Ajmer,543273
Rajasthan,2020,2,Kota,529843
Rajasthan,2020,2,Nagaur,507139
Rajasthan,2020,2,Bhilwara,494563
Rajasthan,2020,2,Udaipur,470976
Rajasthan,2020,2,Jhunjhunu,438673
Rajasthan,2020,3,Jaipur,3433167
Rajasthan,2020,3,Alwar,1008033
Rajasthan,2020,3,Jodhpur,870849
Rajasthan,2020,3,Sikar,652190
Rajasthan,2020,3,Ajmer,605298
Rajasthan,2020,3,Kota,577117
Rajasthan,2020,3,Nagaur,564788
Rajasthan,2020,3,Bhilwara,548564
Rajasthan,2020,3,Udaipur,522695
Rajasthan,2020,3,Jhunjhunu,484411
Rajasthan,2020,4,Jaipur,3679874
Rajasthan,2020,4,Alwar,1096436
Rajasthan,2020,4,Jodhpur,956422
Rajasthan,2020,4,Sikar,712668
Rajasthan,2020,4,Ajmer,667786
Rajasthan,2020,4,Kota,625674
Rajasthan,2020,4,Nagaur,621602
Rajasthan,2020,4,Bhilwara,600492
Rajasthan,2020,4,Udaipur,572833
Rajasthan,2020,4,Jhunjhunu,527749
Rajasthan,2021,1,Jaipur,3951866
Rajasthan,2021,1,Alwar,1185599
Rajasthan,2021,1,Jodhpur,1036855
Rajasthan,2021,1,Sikar,770103
Rajasthan,2021,1,Ajmer,723852
Rajasthan,2021,1,Kota,674683
Rajasthan,2021,1,Nagaur,674465
Rajasthan,2021,1,Bhilwara,651400
Rajasthan,2021,1,Udaipur,619264
Rajasthan,2021,1,Jhunjhunu,569602
Rajasthan,2021,2,Jaipur,4226231
Rajasthan,2021,2,Alwar,1273307
Rajasthan,2021,2,Jodhpur,1114131
Rajasthan,2021,2,Sikar,826855
Rajasthan,2021,2,Ajmer,776294
Rajasthan,2021,2,Nagaur,726871
Rajasthan,2021,2,Kota,722793
Rajasthan,2021,2,Bhilwara,701929
Rajasthan,2021,2,Udaipur,664816
Rajasthan,2021,2,Jhunjhunu,611825
Rajasthan,2021,3,Jaipur,4534297
Rajasthan,2021,3,Alwar,1374586
Rajasthan,2021,3,Jodhpur,1202937
Rajasthan,2021,3,Sikar,892015
Rajasthan,2021,3,Ajmer,835375
Rajasthan,2021,3,Nagaur,787565
Rajasthan,2021,3,Kota,777099
Rajasthan,2021,3,Bhilwara,760232
Rajasthan,2021,3,Udaipur,716657
Rajasthan,2021,3,Jhunjhunu,660246
Rajasthan,2021,4,Jaipur,4841883
Rajasthan,2021,4,Alwar,1474129
Rajasthan,2021,4,Jodhpur,1288773
Rajasthan,2021,4,Sikar,955025
Rajasthan,2021,4,Ajmer,892912
Rajasthan,2021,4,Nagaur,845508
Rajasthan,2021,4,Kota,831250
Rajasthan,2021,4,Bhilwara,816969
Rajasthan,2021,4,Udaipur,767224
Rajasthan,2021,4,Jhunjhunu,706897
Rajasthan,2022,1,Jaipur,5133527
Rajasthan,2022,1,Alwar,1570711
Rajasthan,2022,1,Jodhpur,1370206
Rajasthan,2022,1,Sikar,1017503
Rajasthan,2022,1,Ajmer,947827
Rajasthan,2022,1,Nagaur,901819
Rajasthan,2022,1,Kota,882916
Rajasthan,2022,1,Bhilwara,871188
Rajasthan,2022,1,Udaipur,816476
Rajasthan,2022,1,Jhunjhunu,752608
Rajasthan,2022,2,Jaipur,5409763
Rajasthan,2022,2,Alwar,1661785
Rajasthan,2022,2,Jodhpur,1444490
Rajasthan,2022,2,Sikar,1074986
Rajasthan,2022,2,Ajmer,998746
Rajasthan,2022,2,Nagaur,952752
Rajasthan,2022,2,Kota,931689
Rajasthan,2022,2,Bhilwara,921021
Rajasthan,2022,2,Udaipur,862053
Rajasthan,2022,2,Jhunjhunu,795815
Rajasthan,2022,3,Jaipur,5696726
Rajasthan,2022,3,Alwar,1755844
Rajasthan,2022,3,Jodhpur,1517702
Rajasthan,2022,3,Sikar,1133443
Rajasthan,2022,3,Ajmer,1050146
Rajasthan,2022,3,Nagaur,1001401
Rajasthan,2022,3,Kota,982248
Rajasthan,2022,3,Bhilwara,971352
Rajasthan,2022,3,Udaipur,908034
Rajasthan,2022,3,Jhunjhunu,839052
Rajasthan,2022,4,Jaipur,5975863
Rajasthan,2022,4,Alwar,1843138
Rajasthan,2022,4,Jodhpur,1583620
Rajasthan,2022,4,Sikar,1185927
Rajasthan,2022,4,Ajmer,1097266
Rajasthan,2022,4,Nagaur,1043562
Rajasthan,2022,4,Kota,1031196
Rajasthan,2022,4,Bhilwara,1017032
Rajasthan,2022,4,Udaipur,949767
Rajasthan,2022,4,Jhunjhunu,876787
Rajasthan,2023,1,Jaipur,6247095
Rajasthan,2023,1,Alwar,1931404
Rajasthan,2023,1,Jodhpur,1654436
Rajasthan,2023,1,Sikar,1241633
Rajasthan,2023,1,Ajmer,1146113
Rajasthan,2023,1,Nagaur,1091225
Rajasthan,2023,1,Kota,1079455
Rajasthan,2023,1,Bhilwara,1065499
Rajasthan,2023,1,Udaipur,992940
Rajasthan,2023,1,Jhunjhunu,917983
Rajasthan,2023,2,Jaipur,6490210
Rajasthan,2023,2,Alwar,2015122
Rajasthan,2023,2,Jodhpur,1723274
Rajasthan,2023,2,Sikar,1295705
Rajasthan,2023,2,Ajmer,1191890
Rajasthan,2023,2,Nagaur,1140617
Rajasthan,2023,2,Kota,1123468
Rajasthan,2023,2,Bhilwara,1112475
Rajasthan,2023,2,Udaipur,1034200
Rajasthan,2023,2,Jhunjhunu,957879
Rajasthan,2023,3,Jaipur,6745507
Rajasthan,2023,3,Alwar,2100632
Rajasthan,2023,3,Jodhpur,1793526
Rajasthan,2023,3,Sikar,1350861
Rajasthan,2023,3,Ajmer,1240780
Rajasthan,2023,3,Nagaur,1190241
Rajasthan,2023,3,Kota,1170118
Rajasthan,2023,3,Bhilwara,1161222
Rajasthan,2023,3,Udaipur,1075658
Rajasthan,2023,3,Jhunjhunu,998478
Rajasthan,2023,4,Jaipur,6983265
Rajasthan,2023,4,Alwar,2179932
Rajasthan,2023,4,Jodhpur,1857340
Rajasthan,2023,4,Sikar,1402231
Rajasthan,2023,4,Ajmer,1284233
Rajasthan,2023,4,Nagaur,1236331
Rajasthan,2023,4,Kota,1214016
Rajasthan,2023,4,Bhilwara,1205003
Rajasthan,2023,4,Udaipur,1115611
Rajasthan,2023,4,Jhunjhunu,1036803
Rajasthan,2024,1,Jaipur,7253881
Rajasthan,2024,1,Alwar,2270393
Rajasthan,2024,1,Jodhpur,1933181
Rajasthan,2024,1,Sikar,1461236
Rajasthan,2024,1,Ajmer,1334929
Rajasthan,2024,1,Nagaur,1290786
Rajasthan,2024,1,Kota,1264105
Rajasthan,2024,1,Bhilwara,1256777
Rajasthan,2024,1,Udaipur,1161696
Rajasthan,2024,1,Jhunjhunu,1080420
Sikkim,2018,1,East,12749
Sikkim,2018,1,South,3679
Sikkim,2018,1,West,2048
Sikkim,2018,1,North,1575
Sikkim,2018,2,East,17767
Sikkim,2018,2,South,5147
Sikkim,2018,2,West,2868
Sikkim,2018,2,North,2315
Sikkim,2018,3,East,23460
Sikkim,2018,3,South,6943
Sikkim,2018,3,West,4042
Sikkim,2018,3,North,3192
Sikkim,2018,4,East,29948
Sikkim,2018,4,South,8992
Sikkim,2018,4,West,5328
Sikkim,2018,4,North,4270
Sikkim,2019,1,East,36124
Sikkim,2019,1,South,11031
Sikkim,2019,1,West,6479
Sikkim,2019,1,North,5322
Sikkim,2019,2,East,43048
Sikkim,2019,2,South,13547
Sikkim,2019,2,West,8064
Sikkim,2019,2,North,6340
Sikkim,2019,3,East,49404
Sikkim,2019,3,South,16016
Sikkim,2019,3,West,9481
Sikkim,2019,3,North,7227
Sikkim,2019,4,East,55340
Sikkim,2019,4,South,18461
Sikkim,2019,4,West,11078
Sikkim,2019,4,North,8093
Sikkim,2020,1,East,61820
Sikkim,2020,1,South,21043
Sikkim,2020,1,West,12746
Sikkim,2020,1,North,9022
Sikkim,2020,2,East,69829
Sikkim,2020,2,South,24768
Sikkim,2020,2,West,15082
Sikkim,2020,2,North,10242
Sikkim,2020,3,East,78018
Sikkim,2020,3,South,28038
Sikkim,2020,3,West,17400
Sikkim,2020,3,North,11317
Sikkim,2020,4,East,85770
Sikkim,2020,4,South,31055
Sikkim,2020,4,West,19217
Sikkim,2020,4,North,12501
Sikkim,2021,1,East,92502
Sikkim,2021,1,South,33490
Sikkim,2021,1,West,20769
Sikkim,2021,1,North,13452
Sikkim,2021,2,East,99077
Sikkim,2021,2,South,35900
Sikkim,2021,2,West,22352
Sikkim,2021,2,North,14411
Sikkim,2021,3,East,106352
Sikkim,2021,3,South,38616
Sikkim,2021,3,West,24132
Sikkim,2021,3,North,15593
Sikkim,2021,4,East,113537
Sikkim,2021,4,South,41311
Sikkim,2021,4,West,25834
Sikkim,2021,4,North,16725
Sikkim,2022,1,East,120360
Sikkim,2022,1,South,43881
Sikkim,2022,1,West,27594
Sikkim,2022,1,North,17781
Sikkim,2022,2,East,126666
Sikkim,2022,2,South,46351
Sikkim,2022,2,West,29184
Sikkim,2022,2,North,18793
Sikkim,2022,3,East,133152
Sikkim,2022,3,South,48673
Sikkim,2022,3,West,30513
Sikkim,2022,3,North,19687
Sikkim,2022,4,East,139175
Sikkim,2022,4,South,50716
Sikkim,2022,4,West,31605
Sikkim,2022,4,North,20472
Sikkim,2023,1,East,145199
Sikkim,2023,1,South,52942
Sikkim,2023,1,West,32945
Sikkim,2023,1,North,21354
Sikkim,2023,2,East,150852
Sikkim,2023,2,South,55158
Sikkim,2023,2,West,34427
Sikkim,2023,2,North,22291
Sikkim,2023,3,East,156600
Sikkim,2023,3,South,57259
Sikkim,2023,3,West,35808
Sikkim,2023,3,North,23162
Sikkim,2023,4,East,162011
Sikkim,2023,4,South,59357
Sikkim,2023,4,West,37183
Sikkim,2023,4,North,24024
Sikkim,2024,1,East,168229
Sikkim,2024,1,South,61782
Sikkim,2024,1,West,38748
Sikkim,2024,1,North,25062
Tamil Nadu,2018,1,Chennai,292004
Tamil Nadu,2018,1,Thiruvallur,215622
Tamil Nadu,2018,1,Chengalpattu,215210
Tamil Nadu,2018,1,Coimbatore,170306
Tamil Nadu,2018,1,Kancheepuram,136352
Tamil Nadu,2018,1,Salem,88288
Tamil Nadu,2018,1,Tiruppur,87652
Tamil Nadu,2018,1,Madurai,72582
Tamil Nadu,2018,1,Krishnagiri,66958
Tamil Nadu,2018,1,Tiruchirappalli,62230
Tamil Nadu,2018,2,Chennai,401349
Tamil Nadu,2018,2,Thiruvallur,300210
Tamil Nadu,2018,2,Chengalpattu,292432
Tamil Nadu,2018,2,Coimbatore,244374
Tamil Nadu,2018,2,Kancheepuram,188583
Tamil Nadu,2018,2,Tiruppur,128535
Tamil Nadu,2018,2,Salem,126830
Tamil Nadu,2018,2,Madurai,105957
Tamil Nadu,2018,2,Krishnagiri,96842
Tamil Nadu,2018,2,Tiruchirappalli,91156
Tamil Nadu,2018,3,Chennai,511138
Tamil Nadu,2018,3,Thiruvallur,381620
Tamil Nadu,2018,3,Chengalpattu,368413
Tamil Nadu,2018,3,Coimbatore,318461
Tamil Nadu,2018,3,Kancheepuram,239985
Tamil Nadu,2018,3,Tiruppur,172195
Tamil Nadu,2018,3,Salem,164489
Tamil Nadu,2018,3,Madurai,138064
Tamil Nadu,2018,3,Krishnagiri,128769
Tamil Nadu,2018,3,Tiruchirappalli,119661
Tamil Nadu,2018,4,Chennai,689276
Tamil Nadu,2018,4,Thiruvallur,514830
Tamil Nadu,2018,4,Chengalpattu,483785
Tamil Nadu,2018,4,Coimbatore,415090
Tamil Nadu,2018,4,Kancheepuram,318007
Tamil Nadu,2018,4,Tiruppur,227253
Tamil Nadu,2018,4,Salem,215365
Tamil Nadu,2018,4,Madurai,183206
Tamil Nadu,2018,4,Krishnagiri,172743
Tamil Nadu,2018,4,Tiruchirappalli,160006
Tamil Nadu,2019,1,Chennai,830586
Tamil Nadu,2019,1,Thiruvallur,625908
Tamil Nadu,2019,1,Chengalpattu,578045
Tamil Nadu,2019,1,Coimbatore,495350
Tamil Nadu,2019,1,Kancheepuram,385091
Tamil Nadu,2019,1,Tiruppur,273869
Tamil Nadu,2019,1,Salem,257624
Tamil Nadu,2019,1,Madurai,224783
Tamil Nadu,2019,1,Krishnagiri,212859
Tamil Nadu,2019,1,Tiruchirappalli,193798
Tamil Nadu,2019,2,Chennai,969955
Tamil Nadu,2019,2,Thiruvallur,733978
Tamil Nadu,2019,2,Chengalpattu,667137
Tamil Nadu,2019,2,Coimbatore,584160
Tamil Nadu,2019,2,Kancheepuram,447527
Tamil Nadu,2019,2,Tiruppur,324350
Tamil Nadu,2019,2,Salem,302033
Tamil Nadu,2019,2,Madurai,268420
Tamil Nadu,2019,2,Krishnagiri,252986
Tamil Nadu,2019,2,Tiruchirappalli,229886
Tamil Nadu,2019,3,Chennai,1090190
Tamil Nadu,2019,3,Thiruvallur,828137
Tamil Nadu,2019,3,Chengalpattu,744424
Tamil Nadu,2019,3,Coimbatore,669547
Tamil Nadu,2019,3,Kancheepuram,503192
Tamil Nadu,2019,3,Tiruppur,371296
Tamil Nadu,2019,3,Salem,342259
Tamil Nadu,2019,3,Madurai,305793
Tamil Nadu,2019,3,Krishnagiri,290478
Tamil Nadu,2019,3,Tiruchirappalli,261919
Tamil Nadu,2019,4,Chennai,1216610
Tamil Nadu,2019,4,Thiruvallur,934744
Tamil Nadu,2019,4,Chengalpattu,829575
Tamil Nadu,2019,4,Coimbatore,767480
Tamil Nadu,2019,4,Kancheepuram,564806
Tamil Nadu,2019,4,Tiruppur,427694
Tamil Nadu,2019,4,Salem,390301
Tamil Nadu,2019,4,Madurai,351234
Tamil Nadu,2019,4,Krishnagiri,335178
Tamil Nadu,2019,4,Tiruchirappalli,299366
Tamil Nadu,2020,1,Chennai,1340762
Tamil Nadu,2020,1,Thiruvallur,1041642
Tamil Nadu,2020,1,Chengalpattu,912587
Tamil Nadu,2020,1,Coimbatore,868832
Tamil Nadu,2020,1,Kancheepuram,626872
Tamil Nadu,2020,1,Tiruppur,488697
Tamil Nadu,2020,1,Salem,442045
Tamil Nadu,2020,1,Madurai,402474
Tamil Nadu,2020,1,Krishnagiri,379857
Tamil Nadu,2020,1,Tiruchirappalli,339829
Tamil Nadu,2020,2,Chennai,1436722
Tamil Nadu,2020,2,Thiruvallur,1140330
Tamil Nadu,2020,2,Chengalpattu,979769
Tamil Nadu,2020,2,Coimbatore,958191
Tamil Nadu,2020,2,Kancheepuram,678899
Tamil Nadu,2020,2,Tiruppur,550609
Tamil Nadu,2020,2,Salem,499360
Tamil Nadu,2020,2,Madurai,456527
Tamil Nadu,2020,2,Krishnagiri,424184
Tamil Nadu,2020,2,Tiruchirappalli,383178
Tamil Nadu,2020,3,Chennai,1566152
Tamil Nadu,2020,3,Thiruvallur,1260923
Tamil Nadu,2020,3,Coimbatore,1073680
Tamil Nadu,2020,3,Chengalpattu,1064263
Tamil Nadu,2020,3,Kancheepuram,744437
Tamil Nadu,2020,3,Tiruppur,625391
Tamil Nadu,2020,3,Salem,564858
Tamil Nadu,2020,3,Madurai,516447
Tamil Nadu,2020,3,Krishnagiri,480568
Tamil Nadu,2020,3,Tiruchirappalli,433221
Tamil Nadu,2020,4,Chennai,1731527
Tamil Nadu,2020,4,Thiruvallur,1408348
Tamil Nadu,2020,4,Coimbatore,1205249
Tamil Nadu,2020,4,Chengalpattu,1170720
Tamil Nadu,2020,4,Kancheepuram,829207
Tamil Nadu,2020,4,Tiruppur,710489
Tamil Nadu,2020,4,Salem,638883
Tamil Nadu,2020,4,Madurai,582252
Tamil Nadu,2020,4,Krishnagiri,545815
Tamil Nadu,2020,4,Tiruchirappalli,487716
Tamil Nadu,2021,1,Chennai,1865001
Tamil Nadu,2021,1,Thiruvallur,1522407
Tamil Nadu,2021,1,Coimbatore,1304141
Tamil Nadu,2021,1,Chengalpattu,1259678
Tamil Nadu,2021,1,Kancheepuram,895950
Tamil Nadu,2021,1,Tiruppur,772074
Tamil Nadu,2021,1,Salem,693137
Tamil Nadu,2021,1,Madurai,630685
Tamil Nadu,2021,1,Krishnagiri,592655
Tamil Nadu,2021,1,Tiruchirappalli,527667
Tamil Nadu,2021,2,Chennai,1988355
Tamil Nadu,2021,2,Thiruvallur,1626966
Tamil Nadu,2021,2,Coimbatore,1393621
Tamil Nadu,2021,2,Chengalpattu,1344163
Tamil Nadu,2021,2,Kancheepuram,957182
Tamil Nadu,2021,2,Tiruppur,828168
Tamil Nadu,2021,2,Salem,742566
Tamil Nadu,2021,2,Madurai,675035
Tamil Nadu,2021,2,Krishnagiri,635191
Tamil Nadu,2021,2,Tiruchirappalli,565156
Tamil Nadu,2021,3,Chennai,2124347
Tamil Nadu,2021,3,Thiruvallur,1744228
Tamil Nadu,2021,3,Coimbatore,1494350
Tamil Nadu,2021,3,Chengalpattu,1438295
Tamil Nadu,2021,3,Kancheepuram,1025651
Tamil Nadu,2021,3,Tiruppur,891753
Tamil Nadu,2021,3,Salem,798213
Tamil Nadu,2021,3,Madurai,725021
Tamil Nadu,2021,3,Krishnagiri,683549
Tamil Nadu,2021,3,Tiruchirappalli,607438
Tamil Nadu,2021,4,Chennai,2261346
Tamil Nadu,2021,4,Thiruvallur,1860992
Tamil Nadu,2021,4,Coimbatore,1594082
Tamil Nadu,2021,4,Chengalpattu,1532535
Tamil Nadu,2021,4,Kancheepuram,1094222
Tamil Nadu,2021,4,Tiruppur,954674
Tamil Nadu,2021,4,Salem,853064
Tamil Nadu,2021,4,Madurai,774490
Tamil Nadu,2021,4,Krishnagiri,731018
Tamil Nadu,2021,4,Tiruchirappalli,649095
Tamil Nadu,2022,1,Chennai,2388315
Tamil Nadu,2022,1,Thiruvallur,1970646
Tamil Nadu,2022,1,Coimbatore,1687096
Tamil Nadu,2022,1,Chengalpattu,1621177
Tamil Nadu,2022,1,Kancheepuram,1158719
Tamil Nadu,2022,1,Tiruppur,1014036
Tamil Nadu,2022,1,Salem,905104
Tamil Nadu,2022,1,Madurai,820952
Tamil Nadu,2022,1,Krishnagiri,776101
Tamil Nadu,2022,1,Tiruchirappalli,688562
Tamil Nadu,2022,2,Chennai,2509588
Tamil Nadu,2022,2,Thiruvallur,2075274
Tamil Nadu,2022,2,Coimbatore,1775760
Tamil Nadu,2022,2,Chengalpattu,1704864
Tamil Nadu,2022,2,Kancheepuram,1220237
Tamil Nadu,2022,2,Tiruppur,1070480
Tamil Nadu,2022,2,Salem,954155
Tamil Nadu,2022,2,Madurai,864806
Tamil Nadu,2022,2,Krishnagiri,818552
Tamil Nadu,2022,2,Tiruchirappalli,725751
Tamil Nadu,2022,3,Chennai,2635738
Tamil Nadu,2022,3,Thiruvallur,2183990
Tamil Nadu,2022,3,Coimbatore,1867655
Tamil Nadu,2022,3,Chengalpattu,1791530
Tamil Nadu,2022,3,Kancheepuram,1284243
Tamil Nadu,2022,3,Tiruppur,1128474
Tamil Nadu,2022,3,Salem,1005031
Tamil Nadu,2022,3,Madurai,910111
Tamil Nadu,2022,3,Krishnagiri,862231
Tamil Nadu,2022,3,Tiruchirappalli,763327
Tamil Nadu,2022,4,Chennai,2763151
Tamil Nadu,2022,4,Thiruvallur,2290089
Tamil Nadu,2022,4,Coimbatore,1955681
Tamil Nadu,2022,4,Chengalpattu,1876163
Tamil Nadu,2022,4,Kancheepuram,1346845
Tamil Nadu,2022,4,Tiruppur,1183174
Tamil Nadu,2022,4,Salem,1052099
Tamil Nadu,2022,4,Madurai,953739
Tamil Nadu,2022,4,Krishnagiri,902906
Tamil Nadu,2022,4,Tiruchirappalli,798742
Tamil Nadu,2023,1,Chennai,2885933
Tamil Nadu,2023,1,Thiruvallur,2393917
Tamil Nadu,2023,1,Coimbatore,2042019
Tamil Nadu,2023,1,Chengalpattu,1959401
Tamil Nadu,2023,1,Kancheepuram,1408216
Tamil Nadu,2023,1,Tiruppur,1237941
Tamil Nadu,2023,1,Salem,1100202
Tamil Nadu,2023,1,Madurai,996514
Tamil Nadu,2023,1,Krishnagiri,944553
Tamil Nadu,2023,1,Tiruchirappalli,834366
Tamil Nadu,2023,2,Chennai,2987502
Tamil Nadu,2023,2,Thiruvallur,2484893
Tamil Nadu,2023,2,Coimbatore,2118883
Tamil Nadu,2023,2,Chengalpattu,2031529
Tamil Nadu,2023,2,Kancheepuram,1461910
Tamil Nadu,2023,2,Tiruppur,1289806
Tamil Nadu,2023,2,Salem,1144842
Tamil Nadu,2023,2,Madurai,1035842
Tamil Nadu,2023,2,Krishnagiri,983032
Tamil Nadu,2023,2,Tiruchirappalli,868289
Tamil Nadu,2023,3,Chennai,3098864
Tamil Nadu,2023,3,Thiruvallur,2582607
Tamil Nadu,2023,3,Coimbatore,2200165
Tamil Nadu,2023,3,Chengalpattu,2109212
Tamil Nadu,2023,3,Kancheepuram,1519225
Tamil Nadu,2023,3,Tiruppur,1341973
Tamil Nadu,2023,3,Salem,1191010
Tamil Nadu,2023,3,Madurai,1076620
Tamil Nadu,2023,3,Krishnagiri,1023066
Tamil Nadu,2023,3,Tiruchirappalli,903048
Tamil Nadu,2023,4,Chennai,3205005
Tamil Nadu,2023,4,Thiruvallur,2676065
Tamil Nadu,2023,4,Coimbatore,2277873
Tamil Nadu,2023,4,Chengalpattu,2183205
Tamil Nadu,2023,4,Kancheepuram,1574315
Tamil Nadu,2023,4,Tiruppur,1392956
Tamil Nadu,2023,4,Salem,1236133
Tamil Nadu,2023,4,Madurai,1115928
Tamil Nadu,2023,4,Krishnagiri,1060928
Tamil Nadu,2023,4,Tiruchirappalli,936873
Tamil Nadu,2024,1,Chennai,3324538
Tamil Nadu,2024,1,Thiruvallur,2781638
Tamil Nadu,2024,1,Coimbatore,2365485
Tamil Nadu,2024,1,Chengalpattu,2267245
Tamil Nadu,2024,1,Kancheepuram,1636613
Tamil Nadu,2024,1,Tiruppur,1450347
Tamil Nadu,2024,1,Salem,1286923
Tamil Nadu,2024,1,Madurai,1160424
Tamil Nadu,2024,1,Krishnagiri,1103984
Tamil Nadu,2024,1,Tiruchirappalli,974721
Telangana,2018,1,Hyderabad,655175
Telangana,2018,1,Rangareddy,635175
Telangana,2018,1,Medchal Malkajgiri,549429
Telangana,2018,1,Sangareddy,142807
Telangana,2018,1,Warangal Urban,133840
Telangana,2018,1,Karimnagar,100028
Telangana,2018,1,Khammam,84941
Telangana,2018,1,Nalgonda,84459
Telangana,2018,1,Nizamabad,77516
Telangana,2018,1,Peddapalle,67418
Telangana,2018,2,Hyderabad,842483
Telangana,2018,2,Rangareddy,804959
Telangana,2018,2,Medchal Malkajgiri,696211
Telangana,2018,2,Sangareddy,182673
Telangana,2018,2,Warangal Urban,171260
Telangana,2018,2,Karimnagar,126122
Telangana,2018,2,Khammam,111361
Telangana,2018,2,Nalgonda,110668
Telangana,2018,2,Nizamabad,100652
Telangana,2018,2,Peddapalle,86033
Telangana,2018,3,Hyderabad,1024241
Telangana,2018,3,Rangareddy,963186
Telangana,2018,3,Medchal Malkajgiri,828425
Telangana,2018,3,Sangareddy,220802
Telangana,2018,3,Warangal Urban,199919
Telangana,2018,3,Karimnagar,148562
Telangana,2018,3,Khammam,135353
Telangana,2018,3,Nalgonda,134723
Telangana,2018,3,Nizamabad,120650
Telangana,2018,3,Peddapalle,102365
Telangana,2018,4,Hyderabad,1336872
Telangana,2018,4,Rangareddy,1217664
Telangana,2018,4,Medchal Malkajgiri,1056739
Telangana,2018,4,Sangareddy,281038
Telangana,2018,4,Warangal Urban,249500
Telangana,2018,4,Karimnagar,182600
Telangana,2018,4,Nalgonda,171002
Telangana,2018,4,Khammam,168485
Telangana,2018,4,Nizamabad,150190
Telangana,2018,4,Peddapalle,124191
Telangana,2019,1,Hyderabad,1638436
Telangana,2019,1,Rangareddy,1470874
Telangana,2019,1,Medchal Malkajgiri,1279531
Telangana,2019,1,Sangareddy,346529
Telangana,2019,1,Warangal Urban,301881
Telangana,2019,1,Karimnagar,218609
Telangana,2019,1,Nalgonda,211184
Telangana,2019,1,Khammam,206049
Telangana,2019,1,Nizamabad,186351
Telangana,2019,1,Siddipet,152281
Telangana,2019,2,Hyderabad,1856926
Telangana,2019,2,Rangareddy,1651300
Telangana,2019,2,Medchal Malkajgiri,1428880
Telangana,2019,2,Sangareddy,395371
Telangana,2019,2,Warangal Urban,342602
Telangana,2019,2,Karimnagar,246886
Telangana,2019,2,Nalgonda,243227
Telangana,2019,2,Khammam,239435
Telangana,2019,2,Nizamabad,217841
Telangana,2019,2,Siddipet,175413
Telangana,2019,3,Hyderabad,2071673
Telangana,2019,3,Rangareddy,1826019
Telangana,2019,3,Medchal Malkajgiri,1572320
Telangana,2019,3,Sangareddy,441944
Telangana,2019,3,Warangal Urban,381730
Telangana,2019,3,Karimnagar,274735
Telangana,2019,3,Nalgonda,274568
Telangana,2019,3,Khammam,270101
Telangana,2019,3,Nizamabad,248977
Telangana,2019,3,Siddipet,196397
Telangana,2019,4,Hyderabad,2283903
Telangana,2019,4,Rangareddy,2001437
Telangana,2019,4,Medchal Malkajgiri,1714832
Telangana,2019,4,Sangareddy,493353
Telangana,2019,4,Warangal Urban,421970
Telangana,2019,4,Nalgonda,312849
Telangana,2019,4,Karimnagar,305507
Telangana,2019,4,Khammam,304804
Telangana,2019,4,Nizamabad,284623
Telangana,2019,4,Siddipet,221164
Telangana,2020,1,Hyderabad,2483843
Telangana,2020,1,Rangareddy,2166829
Telangana,2020,1,Medchal Malkajgiri,1845599
Telangana,2020,1,Sangareddy,542540
Telangana,2020,1,Warangal Urban,457591
Telangana,2020,1,Nalgonda,351793
Telangana,2020,1,Khammam,340747
Telangana,2020,1,Karimnagar,334300
Telangana,2020,1,Nizamabad,320572
Telangana,2020,1,Siddipet,245168
Telangana,2020,2,Hyderabad,2653534
Telangana,2020,2,Rangareddy,2313748
Telangana,2020,2,Medchal Malkajgiri,1963353
Telangana,2020,2,Sangareddy,593360
Telangana,2020,2,Warangal Urban,495066
Telangana,2020,2,Nalgonda,393199
Telangana,2020,2,Khammam,380382
Telangana,2020,2,Karimnagar,362986
Telangana,2020,2,Nizamabad,362663
Telangana,2020,2,Siddipet,269076
Telangana,2020,3,Hyderabad,2875965
Telangana,2020,3,Rangareddy,2495699
Telangana,2020,3,Medchal Malkajgiri,2111567
Telangana,2020,3,Sangareddy,649580
Telangana,2020,3,Warangal Urban,535485
Telangana,2020,3,Nalgonda,435022
Telangana,2020,3,Khammam,421101
Telangana,2020,3,Nizamabad,405678
Telangana,2020,3,Karimnagar,394328
Telangana,2020,3,Bhadradri Kothagudem,297785
Telangana,2020,4,Hyderabad,3142385
Telangana,2020,4,Rangareddy,2704868
Telangana,2020,4,Medchal Malkajgiri,2282695
Telangana,2020,4,Sangareddy,711551
Telangana,2020,4,Warangal Urban,579306
Telangana,2020,4,Nalgonda,478409
Telangana,2020,4,Khammam,461801
Telangana,2020,4,Nizamabad,449731
